weight,accuracy,accuracy_delta_vs_base,changed_predictions_vs_base,changed_pct_vs_base,base_pred_1_count,blend_pred_1_count,base_pred_1_rate,blend_pred_1_rate,delta_pred_1_rate,rescue_count,kill_count,net_correct_delta,flip_0_to_1,flip_1_to_0,status
0.00,0.82716,0.0,0,0.0,294,294,0.329966,0.329966,0.0,0,0,0,0,0,BASELINE_REFERENCE
0.05,0.828283,0.001122,3,0.3367,294,291,0.329966,0.326599,-0.003367,2,1,1,0,3,CONSERVATIVE_CANDIDATE
0.10,0.830527,0.003367,5,0.561167,294,291,0.329966,0.326599,-0.003367,4,1,3,1,4,CONSERVATIVE_CANDIDATE
0.15,0.830527,0.003367,5,0.561167,294,291,0.329966,0.326599,-0.003367,4,1,3,1,4,CONSERVATIVE_CANDIDATE
0.20,0.829405,0.002245,6,0.673401,294,292,0.329966,0.327722,-0.002245,4,2,2,2,4,CONSERVATIVE_CANDIDATE
0.25,0.832772,0.005612,9,1.010101,294,291,0.329966,0.326599,-0.003367,7,2,5,3,6,CAUTION_ZONE
0.30,0.832772,0.005612,9,1.010101,294,291,0.329966,0.326599,-0.003367,7,2,5,3,6,CAUTION_ZONE
0.35,0.830527,0.003367,11,1.234568,294,293,0.329966,0.328844,-0.001122,7,4,3,5,6,CAUTION_ZONE
0.40,0.83165,0.004489,12,1.346801,294,294,0.329966,0.329966,0.0,8,4,4,6,6,CAUTION_ZONE
0.45,0.832772,0.005612,15,1.683502,294,295,0.329966,0.331089,0.001122,10,5,5,8,7,HIGH_TRANSFER_RISK
0.50,0.832772,0.005612,17,1.907969,294,297,0.329966,0.333333,0.003367,11,6,5,10,7,HIGH_TRANSFER_RISK
1.00,0.839506,0.012346,33,3.703704,294,303,0.329966,0.340067,0.010101,22,11,11,21,12,REJECTED_FULL_STRENGTH
