model_name,feature_set,cv_mean,cv_std,oof_accuracy,pred_1_rate,base_feature_set,changed_predictions_vs_base,changed_pct_vs_base,rescue_count,kill_count,net_correct_delta,status
SVC,raw_tabular,0.821549,0.024288,0.821549,0.326599,raw_tabular,0,0.0,0,0,0,BASELINE_REFERENCE
SVC,raw_no_age,0.799445,0.025304,0.805836,0.315376,raw_tabular,40,4.489338,13,27,-14,RAW_AGE_REMOVAL_HURTS
SVC,raw_no_age_no_sex_plus_agebucket_v1,0.825028,0.022134,0.828283,0.328844,raw_tabular,22,2.469136,14,8,6,KEEP_CANDIDATE
SVC,raw_no_age_no_sex_plus_agebucket_v1,0.825028,0.022134,0.828283,0.328844,raw_no_age,38,4.264871,29,9,20,KEEP_CANDIDATE
GradientBoostingClassifier,raw_tabular,0.825701,0.021513,0.82716,0.329966,raw_tabular,0,0.0,0,0,0,BASELINE_REFERENCE
GradientBoostingClassifier,raw_no_age,0.806179,0.024157,0.808081,0.333333,raw_tabular,71,7.968575,27,44,-17,RAW_AGE_REMOVAL_HURTS
GradientBoostingClassifier,raw_no_age_no_sex_plus_agebucket_v1,0.817389,0.022425,0.822671,0.334456,raw_tabular,70,7.856341,33,37,-4,DEFERRED
GradientBoostingClassifier,raw_no_age_no_sex_plus_agebucket_v1,0.817389,0.022425,0.822671,0.334456,raw_no_age,79,8.866442,46,33,13,DEFERRED
CatBoostClassifier,raw_tabular,0.828402,0.02515,0.835017,0.331089,raw_tabular,0,0.0,0,0,0,BASELINE_REFERENCE
CatBoostClassifier,raw_no_age,0.802252,0.027531,0.805836,0.317621,raw_tabular,70,7.856341,22,48,-26,RAW_AGE_REMOVAL_HURTS
CatBoostClassifier,raw_no_age_no_sex_plus_agebucket_v1,0.82301,0.023725,0.82716,0.323232,raw_tabular,47,5.274972,20,27,-7,DEFERRED
CatBoostClassifier,raw_no_age_no_sex_plus_agebucket_v1,0.82301,0.023725,0.82716,0.323232,raw_no_age,55,6.17284,37,18,19,DEFERRED
