split,variant,PassengerId,Survived,raw_tabular_pred,candidate_pred,raw_tabular_correct,candidate_correct,diff_type,Sex,Pclass,Age,SibSp,Parch,Fare,Cabin,CabinKnown,Embarked
train_oof,raw_plus_cabinknown,31,0,1,0,False,True,rescue,male,1,40.0,0,0,27.7208,,0,C
train_oof,raw_plus_cabinknown,35,0,1,0,False,True,rescue,male,1,28.0,1,0,82.1708,,0,C
train_oof,raw_plus_cabinknown,75,1,1,0,True,False,kill,male,3,32.0,0,0,56.4958,,0,S
train_oof,raw_plus_cabinknown,156,0,1,0,False,True,rescue,male,1,51.0,0,1,61.3792,,0,C
train_oof,raw_plus_cabinknown,210,1,0,1,False,True,rescue,male,1,40.0,0,0,31.0,A31,1,C
train_oof,raw_plus_cabinknown,242,1,0,1,False,True,rescue,female,3,,1,0,15.5,,0,Q
train_oof,raw_plus_cabinknown,280,1,1,0,True,False,kill,female,3,35.0,1,1,20.25,,0,S
train_oof,raw_plus_cabinknown,296,0,1,0,False,True,rescue,male,1,,0,0,27.7208,,0,C
train_oof,raw_plus_cabinknown,299,1,0,1,False,True,rescue,male,1,,0,0,30.5,C106,1,S
train_oof,raw_plus_cabinknown,340,0,1,0,False,True,rescue,male,1,45.0,0,0,35.5,T,1,S
train_oof,raw_plus_cabinknown,420,0,0,1,True,False,kill,female,3,10.0,0,2,24.15,,0,S
train_oof,raw_plus_cabinknown,431,1,0,1,False,True,rescue,male,1,28.0,0,0,26.55,C52,1,S
train_oof,raw_plus_cabinknown,448,1,1,0,True,False,kill,male,1,34.0,0,0,26.55,,0,S
train_oof,raw_plus_cabinknown,485,1,0,1,False,True,rescue,male,1,25.0,1,0,91.0792,B49,1,C
train_oof,raw_plus_cabinknown,493,0,1,0,False,True,rescue,male,1,55.0,0,0,30.5,C30,1,S
train_oof,raw_plus_cabinknown,531,1,0,1,False,True,rescue,female,2,2.0,1,1,26.0,,0,S
train_oof,raw_plus_cabinknown,556,0,0,1,True,False,kill,male,1,62.0,0,0,26.55,,0,S
train_oof,raw_plus_cabinknown,560,1,1,0,True,False,kill,female,3,36.0,1,0,17.4,,0,S
train_oof,raw_plus_cabinknown,584,0,0,1,True,False,kill,male,1,36.0,0,0,40.125,A10,1,C
train_oof,raw_plus_cabinknown,613,1,0,1,False,True,rescue,female,3,,1,0,15.5,,0,Q
train_oof,raw_plus_cabinknown,618,0,1,0,False,True,rescue,female,3,26.0,1,0,16.1,,0,S
train_oof,raw_plus_cabinknown,650,1,0,1,False,True,rescue,female,3,23.0,0,0,7.55,,0,S
train_oof,raw_plus_cabinknown,672,0,0,1,True,False,kill,male,1,31.0,1,0,52.0,B71,1,S
train_oof,raw_plus_cabinknown,682,1,0,1,False,True,rescue,male,1,27.0,0,0,76.7292,D49,1,C
train_oof,raw_plus_cabinknown,730,0,1,0,False,True,rescue,female,3,25.0,1,0,7.925,,0,S
train_oof,raw_plus_cabinknown,741,1,0,1,False,True,rescue,male,1,,0,0,30.0,D45,1,S
train_oof,raw_plus_cabinknown,783,0,0,1,True,False,kill,male,1,29.0,0,0,30.0,D6,1,S
train_oof,raw_plus_cabinknown,794,0,1,0,False,True,rescue,male,1,,0,0,30.6958,,0,C
train_oof,raw_plus_cabinknown,814,0,1,0,False,True,rescue,female,3,6.0,4,2,31.275,,0,S
train_oof,raw_plus_cabinknown,868,0,0,1,True,False,kill,male,1,31.0,0,0,50.4958,A24,1,S
test_full_fit,raw_plus_cabinknown,911,,1,0,,,test_changed,female,3,45.0,0,0,7.225,,0,C
test_full_fit,raw_plus_cabinknown,915,,1,0,,,test_changed,male,1,21.0,0,1,61.3792,,0,C
test_full_fit,raw_plus_cabinknown,931,,1,0,,,test_changed,male,3,,0,0,56.4958,,0,S
test_full_fit,raw_plus_cabinknown,965,,0,1,,,test_changed,male,1,28.5,0,0,27.7208,D43,1,C
test_full_fit,raw_plus_cabinknown,990,,1,0,,,test_changed,female,3,20.0,0,0,7.8542,,0,S
test_full_fit,raw_plus_cabinknown,1010,,0,1,,,test_changed,male,1,36.0,0,0,75.2417,C6,1,C
test_full_fit,raw_plus_cabinknown,1040,,1,0,,,test_changed,male,1,,0,0,26.55,,0,S
test_full_fit,raw_plus_cabinknown,1049,,1,0,,,test_changed,female,3,23.0,0,0,7.8542,,0,S
test_full_fit,raw_plus_cabinknown,1050,,0,1,,,test_changed,male,1,42.0,0,0,26.55,D22,1,S
test_full_fit,raw_plus_cabinknown,1073,,0,1,,,test_changed,male,1,37.0,1,1,83.1583,E52,1,C
test_full_fit,raw_plus_cabinknown,1089,,1,0,,,test_changed,female,3,18.0,0,0,7.775,,0,S
test_full_fit,raw_plus_cabinknown,1098,,1,0,,,test_changed,female,3,35.0,0,0,7.75,,0,Q
test_full_fit,raw_plus_cabinknown,1106,,0,1,,,test_changed,female,3,38.0,4,2,7.775,,0,S
test_full_fit,raw_plus_cabinknown,1126,,0,1,,,test_changed,male,1,39.0,1,0,71.2833,C85,1,C
test_full_fit,raw_plus_cabinknown,1134,,1,0,,,test_changed,male,1,45.0,1,1,134.5,E34,1,C
test_full_fit,raw_plus_cabinknown,1175,,0,1,,,test_changed,female,3,9.0,1,1,15.2458,,0,C
test_full_fit,raw_plus_cabinknown,1205,,1,0,,,test_changed,female,3,37.0,0,0,7.75,,0,Q
test_full_fit,raw_plus_cabinknown,1215,,1,0,,,test_changed,male,1,33.0,0,0,26.55,,0,S
test_full_fit,raw_plus_cabinknown,1251,,0,1,,,test_changed,female,3,30.0,1,0,15.55,,0,S
