split,variant,PassengerId,Survived,raw_pred,candidate_pred,diff_direction,rescue_or_kill,Sex,Pclass,Age,SibSp,Parch,Fare,FamilySize,Surname,SurnameCount,FamilySurnameSize,FamilySurnameSizeBand
train_oof,raw_family_surname_size_band,35,0,1,0,downshift_1_to_0,rescue,male,1,28.0,1,0,82.1708,2,Meyer,3,3,small
train_oof,raw_family_surname_size_band,39,0,1,0,downshift_1_to_0,rescue,female,3,18.0,2,0,18.0,3,Vander Planke,4,4,small
train_oof,raw_family_surname_size_band,65,0,0,1,upshift_0_to_1,kill,male,1,,0,0,27.7208,1,Stewart,1,1,alone
train_oof,raw_family_surname_size_band,75,1,1,0,downshift_1_to_0,kill,male,3,32.0,0,0,56.4958,1,Bing,1,1,alone
train_oof,raw_family_surname_size_band,98,1,0,1,upshift_0_to_1,rescue,male,1,23.0,0,1,63.3583,2,Greenfield,2,2,small
train_oof,raw_family_surname_size_band,166,1,1,0,downshift_1_to_0,kill,male,3,9.0,0,2,20.525,3,Goldsmith,4,4,small
train_oof,raw_family_surname_size_band,234,1,0,1,upshift_0_to_1,rescue,female,3,5.0,4,2,31.3875,7,Asplund,8,8,large
train_oof,raw_family_surname_size_band,242,1,0,1,upshift_0_to_1,rescue,female,3,,1,0,15.5,2,Murphy,3,3,small
train_oof,raw_family_surname_size_band,296,0,1,0,downshift_1_to_0,rescue,male,1,,0,0,27.7208,1,Lewy,1,1,alone
train_oof,raw_family_surname_size_band,348,1,0,1,upshift_0_to_1,rescue,female,3,,1,0,16.1,2,Davison,2,2,small
train_oof,raw_family_surname_size_band,375,0,0,1,upshift_0_to_1,kill,female,3,3.0,3,1,21.075,5,Palsson,5,5,medium
train_oof,raw_family_surname_size_band,387,0,0,1,upshift_0_to_1,kill,male,3,1.0,5,2,46.9,8,Goodwin,8,8,large
train_oof,raw_family_surname_size_band,446,1,1,0,downshift_1_to_0,kill,male,1,4.0,0,2,81.8583,3,Dodge,3,3,small
train_oof,raw_family_surname_size_band,475,0,0,1,upshift_0_to_1,kill,female,3,22.0,0,0,9.8375,1,Strandberg,1,1,alone
train_oof,raw_family_surname_size_band,535,0,0,1,upshift_0_to_1,kill,female,3,30.0,0,0,8.6625,1,Cacic,4,4,small
train_oof,raw_family_surname_size_band,545,0,1,0,downshift_1_to_0,rescue,male,1,50.0,1,0,106.425,2,Douglas,3,3,small
train_oof,raw_family_surname_size_band,555,1,0,1,upshift_0_to_1,rescue,female,3,22.0,0,0,7.775,1,Ohman,1,1,alone
train_oof,raw_family_surname_size_band,568,0,1,0,downshift_1_to_0,rescue,female,3,29.0,0,4,21.075,5,Palsson,5,5,medium
train_oof,raw_family_surname_size_band,584,0,0,1,upshift_0_to_1,kill,male,1,36.0,0,0,40.125,1,Ross,1,1,alone
